Book,Chapter,Verse,Text,Version
GEN,3,5,"God said that, because he knows that when you eat it you will be like God",GNBDC
GEN,3,6,"The woman saw how beautiful the tree was and how good its fruit would be to eat, and she thought how wonderful it would be to become wise. So she took some of the fruit and ate it. Then she gave some to her husband, and he also ate it.",GNBDC
GEN,3,7,"As soon as they had eaten it, they were given understanding and realized that they were naked; so they sewed fig leaves together and covered themselves.",GNBDC
GEN,3,8,That evening they heard the,GNBDC
GEN,3,9,But the,GNBDC
GEN,3,10,"He answered, “I heard you in the garden; I was afraid and hid from you, because I was naked.”",GNBDC
GEN,3,11,“Who told you that you were naked?” God asked. “Did you eat the fruit that I told you not to eat?”,GNBDC
GEN,3,12,"The man answered, “The woman you put here with me gave me the fruit, and I ate it.”",GNBDC
GEN,3,?,"She replied, “The snake tricked me into eating it.”",GNBDC
GEN,3,14,Then the,GNBDC
GEN,3,15,"I will make you and the woman hate each other; her offspring and yours will always be enemies. Her offspring will crush your head, and you will bite her offspring's",GNBDC
GEN,3,16,"And he said to the woman, “I will increase your trouble in pregnancy and your pain in giving birth. In spite of this, you will still have desire for your husband, yet you will be subject to him.”",GNBDC
GEN,3,18,"It will produce weeds and thorns, and you will have to eat wild plants.",GNBDC
GEN,3,19,"You will have to work hard and sweat to make the soil produce anything, until you go back to the soil from which you were formed. You were made from soil, and you will become soil again.”",GNBDC
GEN,3,20,Adam,GNBDC
GEN,3,21,And the,GNBDC
GEN,3,23,So the,GNBDC
GEN,3,24,Then at the east side of the garden he put living creatures,GNBDC
GEN,4,1,"Then Adam had intercourse with his wife, and she became pregnant. She bore a son and said, “By the",GNBDC
GEN,4,2,"Later she gave birth to another son, Abel. Abel became a shepherd, but Cain was a farmer.",GNBDC
GEN,4,3,"After some time, Cain brought some of his harvest and gave it as an offering to the",GNBDC
GEN,4,4,"Then Abel brought the first lamb born to one of his sheep, killed it, and gave the best parts of it as an offering. The",GNBDC
GEN,4,5,"but he rejected Cain and his offering. Cain became furious, and he scowled in anger.",GNBDC
GEN,4,6,Then the,GNBDC
GEN,4,7,"If you had done the right thing, you would be smiling;",GNBDC
GEN,4,9,The,GNBDC
GEN,4,?,"He answered, “I don't know. Am I supposed to take care of my brother?”",GNBDC
GEN,4,11,You are placed under a curse and can no longer farm the soil. It has soaked up your brother's blood as if it had opened its mouth to receive it when you killed him.,GNBDC
GEN,4,12,"If you try to grow crops, the soil will not produce anything; you will be a homeless wanderer on the earth.”",GNBDC
GEN,4,13,And Cain said to the,GNBDC
GEN,4,14,"You are driving me off the land and away from your presence. I will be a homeless wanderer on the earth, and anyone who finds me will kill me.”",GNBDC
GEN,4,15,But the,GNBDC
GEN,4,16,And Cain went away from the,GNBDC
GEN,4,17,Cain and his wife had a son and named him Enoch. Then Cain built a city and named it after his son.,GNBDC
GEN,4,18,"Enoch had a son named Irad, who was the father of Mehujael, and Mehujael had a son named Methushael, who was the father of Lamech.",GNBDC
GEN,4,19,"Lamech had two wives, Adah and Zillah.",GNBDC
GEN,4,20,"Adah gave birth to Jabal, who was the ancestor of those who raise livestock and live in tents.",GNBDC
GEN,4,21,"His brother was Jubal, the ancestor of all musicians who play the harp and the flute.",GNBDC
GEN,4,22,"Zillah gave birth to Tubal Cain, who made all kinds of tools",GNBDC
GEN,4,23,"Lamech said to his wives,",GNBDC
GEN,4,?,"“Adah and Zillah, listen to me: I have killed a young man because he struck me.",GNBDC
GEN,4,?,77 will be taken if anyone kills me.”,GNBDC
GEN,4,25,"Adam and his wife had another son. She said, “God has given me a son to replace Abel, whom Cain killed.” So she named him Seth.",GNBDC
GEN,4,26,Seth had a son whom he named Enosh. It was then that people began using the,GNBDC
GEN,5,2,"He created them male and female, blessed them, and named them “Humanity”.)",GNBDC
GEN,5,3,"When Adam was 130 years old, he had a son who was like him, and he named him Seth.",GNBDC
GEN,5,4,"After that, Adam lived another 800 years. He had other children",GNBDC
GEN,5,5,and died at the age of 930.,GNBDC
GEN,5,6,"When Seth was 105, he had a son, Enosh,",GNBDC
GEN,5,7,and then lived another 807 years. He had other children,GNBDC
GEN,5,8,and died at the age of 912.,GNBDC
GEN,5,9,"When Enosh was ninety, he had a son, Kenan,",GNBDC
GEN,5,10,and then lived another 815 years. He had other children,GNBDC
GEN,5,11,and died at the age of 905.,GNBDC
GEN,5,12,"When Kenan was seventy, he had a son, Mahalalel,",GNBDC
GEN,5,13,and then lived another 840 years. He had other children,GNBDC
GEN,5,14,and died at the age of 910.,GNBDC
GEN,5,15,"When Mahalalel was 65, he had a son, Jared,",GNBDC
GEN,5,16,and then lived another 830 years. He had other children,GNBDC
GEN,5,17,and died at the age of 895.,GNBDC
GEN,5,18,"When Jared was 162, he had a son, Enoch,",GNBDC
GEN,5,19,and then lived another 800 years. He had other children,GNBDC
GEN,5,20,and died at the age of 962.,GNBDC
GEN,5,21,"When Enoch was 65, he had a son, Methuselah.",GNBDC
GEN,5,22,"After that, Enoch lived in fellowship with God for 300 years and had other children.",GNBDC
GEN,5,23,He lived to be 365 years old.,GNBDC
GEN,5,24,"He spent his life in fellowship with God, and then he disappeared, because God took him away.",GNBDC
GEN,5,25,"When Methuselah was 187, he had a son, Lamech,",GNBDC
GEN,5,26,and then lived another 782 years. He had other children,GNBDC
GEN,5,27,and died at the age of 969.,GNBDC
GEN,5,28,"When Lamech was 182, he had a son,",GNBDC
GEN,5,29,"and said, “From the very ground on which the",GNBDC
GEN,5,30,Lamech lived another 595 years. He had other children,GNBDC
GEN,5,31,and died at the age of 777.,GNBDC
GEN,5,32,"After Noah was 500 years old, he had three sons, Shem, Ham, and Japheth.",GNBDC
