Book,Chapter,Verse,Text,Version
RUT,2,9,"watch them to see where they are reaping and stay with them. I have ordered my men not to molest you. And whenever you are thirsty, go and drink from the water jars that they have filled.”",GNBDC
RUT,2,10,"Ruth bowed down with her face touching the ground, and said to Boaz, “Why should you be so concerned about me? Why should you be so kind to a foreigner?”",GNBDC
RUT,2,11,"Boaz answered, “I have heard about everything that you have done for your mother-in-law since your husband died. I know how you left your father and mother and your own country and how you came to live among a people you had never known before.",GNBDC
RUT,2,12,May the,GNBDC
RUT,2,13,"Ruth answered, “You are very kind",GNBDC
RUT,2,14,"At mealtime Boaz said to Ruth, “Come and have a piece of bread, and dip it in the sauce.” So she sat with the workers, and Boaz passed some roasted grain to her. She ate until she was satisfied, and she still had some food left over.",GNBDC
RUT,2,15-16,"After she had left to go on picking up corn, Boaz ordered the workers, “Let her pick it up even where the bundles are lying, and don't say anything to stop her. Besides that, pull out some corn from the bundles and leave it for her to pick up.”",GNBDC
RUT,2,17,"So Ruth went on gathering corn in the field until evening, and when she had beaten it out, she found she had nearly ten kilogrammes.",GNBDC
RUT,2,18,She took the corn back into town and showed her mother-in-law how much she had gathered. She also gave her the food left over from the meal.,GNBDC
RUT,2,19,"Naomi asked her, “Where did you gather all this? Whose field have you been working in? May God bless the man who took an interest in you!”",GNBDC
RUT,2,?,So Ruth told Naomi that she had been working in a field belonging to a man named Boaz.,GNBDC
RUT,2,21,"Then Ruth said, “Best of all, he told me to keep picking up corn with his workers until they finish the harvest.”",GNBDC
RUT,2,22,"Naomi said to Ruth, “Yes, my daughter, it will be better for you to work with the women in Boaz' field. You might be molested if you went to someone else's field.”",GNBDC
RUT,2,23,So Ruth worked with them and gathered corn until all the barley and wheat had been harvested. And she continued to live with her mother-in-law.,GNBDC
RUT,3,1,"Some time later Naomi said to Ruth, “I must find a husband for you, so that you will have a home of your own.",GNBDC
RUT,3,2,"Remember that this man Boaz, whose women you have been working with, is our relative. Now listen. This evening he will be threshing the barley.",GNBDC
RUT,3,3,"So wash yourself, put on some perfume, and get dressed in your best clothes. Then go where he is threshing, but don't let him know you are there until he has finished eating and drinking.",GNBDC
RUT,3,4,"Be sure to notice where he lies down, and after he falls asleep, go and lift the covers and lie down at his feet. He will tell you what to do.”",GNBDC
RUT,3,5,"Ruth answered, “I will do everything you say.”",GNBDC
RUT,3,6,So Ruth went to the threshing place and did just what her mother-in-law had told her.,GNBDC
RUT,3,7,"When Boaz had finished eating and drinking, he was in a good mood. He went to the pile of barley and lay down to sleep. Ruth slipped over quietly, lifted the covers and lay down at his feet.",GNBDC
RUT,3,8,"During the night he woke up suddenly, turned over, and was surprised to find a woman lying at his feet.",GNBDC
RUT,3,9,“Who are you?” he asked.,GNBDC
RUT,3,?,"“It's Ruth, sir,” she answered. “Because you are a close relative, you are responsible for taking care of me. So please marry me.”",GNBDC
RUT,3,10,“The,GNBDC
RUT,3,11,"Now don't worry, Ruth. I will do everything you ask; as everyone in town knows, you are a fine woman.",GNBDC
RUT,3,12,"It is true that I am a close relative and am responsible for you, but there is a man who is a closer relative than I am.",GNBDC
RUT,3,13,"Stay here the rest of the night, and in the morning we will find out whether or not he will take responsibility for you. If so, well and good; if not, then I swear by the living",GNBDC
RUT,3,14,"So she lay there at his feet, but she got up before it was light enough for her to be seen, because Boaz did not want anyone to know that she had been there.",GNBDC
RUT,3,15,"Boaz said to her, “Take off your cloak and spread it out here.” She did, and he poured out nearly twenty kilogrammes of barley and helped her to lift it on her shoulder. Then she returned to the town with it.",GNBDC
RUT,3,16,"When she arrived home, her mother-in-law asked her, “How did you get on, my daughter?”",GNBDC
RUT,3,?,Ruth told her everything that Boaz had done for her.,GNBDC
RUT,3,17,"She added, “He told me I must not come back to you empty-handed, so he gave me all this barley.”",GNBDC
RUT,3,18,"Naomi said to her, “Now be patient, Ruth, until you see how this all turns out. Boaz will not rest today until he settles the matter.”",GNBDC
RUT,4,1,"Boaz went to the meeting place at the town gate and sat down there. Then Elimelech's nearest relative, the man whom Boaz had mentioned, came by, and Boaz called to him, “Come over here, my friend, and sit down.” So he went over and sat down.",GNBDC
RUT,4,2,"Then Boaz got ten of the leaders of the town and asked them to sit down there too. When they were seated,",GNBDC
RUT,4,3,"he said to his relative, “Now that Naomi has come back from Moab, she wants to sell the field that belonged to our relative Elimelech,",GNBDC
RUT,4,4,"and I think you ought to know about it. Now then, if you want it, buy it in the presence of these men sitting here. But if you don't want it, say so, because the right to buy it belongs first to you and then to me.”",GNBDC
RUT,4,?,"The man said, “I will buy it.”",GNBDC
RUT,4,5,"Boaz said, “Very well, but if you buy the field from Naomi, then you are also buying Ruth,",GNBDC
RUT,4,6,"The man answered, “In that case I will give up my right to buy the field, because it would mean that my own children would not inherit it. You buy it; I would rather not.”",GNBDC
RUT,4,8,"So when the man said to Boaz, “You buy it,” he took off his sandal and gave it to Boaz.",GNBDC
RUT,4,9,"Then Boaz said to the leaders and all the others there, “You are all witnesses today that I have bought from Naomi everything that belonged to Elimelech and to his sons Chilion and Mahlon.",GNBDC
RUT,4,10,"In addition, Ruth the Moabite, Mahlon's widow, becomes my wife. This will keep the property in the dead man's family, and his family line will continue among his people and in his town. You are witnesses to this today.”",GNBDC
RUT,4,12,May the children that the,GNBDC
RUT,4,13,So Boaz took Ruth home as his wife. The,GNBDC
RUT,4,14,"The women said to Naomi, “Praise the",GNBDC
RUT,4,15,"Your daughter-in-law loves you, and has done more for you than seven sons. And now she has given you a grandson, who will bring new life to you and give you security in your old age.”",GNBDC
RUT,4,16,"Naomi took the child, held him close,",GNBDC
RUT,4,17,"The women of the neighbourhood named the boy Obed. They told everyone, “A son has been born to Naomi!”",GNBDC
RUT,4,?,"Obed became the father of Jesse, who was the father of David.",GNBDC
RUT,4,18-22,"This is the family line from Perez to David: Perez, Hezron, Ram, Amminadab, Nahshon, Salmon, Boaz, Obed, Jesse, David.",GNBDC
1SA,1,1,"There was a man named Elkanah, from the tribe of Ephraim, who lived in the town of Ramah in the hill country of Ephraim. He was the son of Jeroham and grandson of Elihu, and belonged to the family of Tohu, a part of the clan of Zuph.",GNBDC
1SA,1,2,"Elkanah had two wives, Hannah and Peninnah. Peninnah had children, but Hannah had none.",GNBDC
1SA,1,3,Every year Elkanah went from Ramah to worship and offer sacrifices to the,GNBDC
1SA,1,4,"Each time Elkanah offered his sacrifice, he would give one share of the meat to Peninnah and one share to each of her children.",GNBDC
1SA,1,5,"And even though he loved Hannah very much he would give her only one share, because",GNBDC
1SA,1,6,"Peninnah, her rival, would torment and humiliate her, because the",GNBDC
1SA,1,7,This went on year after year; whenever they went to the house of the,GNBDC
1SA,1,8,"Her husband Elkanah would ask her, “Hannah, why are you crying? Why won't you eat? Why are you always so sad? Don't I mean more to you than ten sons?”",GNBDC
1SA,1,9-10,"One day, after they had finished their meal in the house of the",GNBDC
1SA,1,11,Hannah made a solemn promise: “Almighty,GNBDC
1SA,1,12,Hannah continued to pray to the,GNBDC
1SA,1,13,"She was praying silently; her lips were moving, but she made no sound. So Eli thought that she was drunk,",GNBDC
1SA,1,14,"and said to her, “Stop making a drunken show of yourself! Stop your drinking and sober up!”",GNBDC
1SA,1,15,"“No, I'm not drunk, sir,” she answered. “I haven't been drinking! I am desperate, and I have been praying, pouring out my troubles to the",GNBDC
1SA,1,16,Don't think I am a worthless woman. I have been praying like this because I'm so miserable.”,GNBDC
1SA,1,17,"“Go in peace,” Eli said, “and may the God of Israel give you what you have asked him for.”",GNBDC
1SA,1,18,"“May you always think kindly of me,” she replied. Then she went away, ate some food, and was no longer sad.",GNBDC
1SA,1,19,"The next morning Elkanah and his family got up early, and after worshipping the",GNBDC
1SA,1,20,"So it was that she became pregnant and gave birth to a son. She named him Samuel,",GNBDC
1SA,1,21,The time came again for Elkanah and his family to go to Shiloh and offer to the,GNBDC
1SA,1,22,"But this time Hannah did not go. She told her husband, “As soon as the child is weaned, I will take him to the house of the",GNBDC
1SA,1,23,"Elkanah answered, “All right, do whatever you think best; stay at home until you have weaned him. And may the",GNBDC
1SA,1,24,"After she had weaned him, she took him to Shiloh, taking along a three-year-old bull,",GNBDC
1SA,1,25,"After they had killed the bull, they took the child to Eli.",GNBDC
1SA,1,26,"Hannah said to him, “Excuse me, sir. Do you remember me? I am the woman you saw standing here, praying to the",GNBDC
1SA,1,27,"I asked him for this child, and he gave me what I asked for.",GNBDC
1SA,1,28,So I am dedicating him to the,GNBDC
1SA,1,#,Then they,GNBDC
1SA,2,?,“The,GNBDC
1SA,2,?,how happy I am because of what he has done!,GNBDC
1SA,2,?,I laugh at my enemies;,GNBDC
1SA,2,?,how joyful I am because God has helped me!,GNBDC
1SA,2,2,“No one is holy like the,GNBDC
1SA,2,?,"there is none like him,",GNBDC
1SA,2,?,no protector like our God.,GNBDC
1SA,2,3,Stop your loud boasting;,GNBDC
1SA,2,?,silence your proud words.,GNBDC
1SA,2,?,For the,GNBDC
1SA,2,?,and he judges all that people do.,GNBDC
1SA,2,4,"The bows of strong soldiers are broken,",GNBDC
1SA,2,?,but the weak grow strong.,GNBDC
1SA,2,5,The people who once were well fed,GNBDC
1SA,2,?,"now hire themselves out to get food,",GNBDC
1SA,2,?,but the hungry are hungry no more.,GNBDC
1SA,2,?,"The childless wife has borne seven children,",GNBDC
1SA,2,?,but the mother of many is left with none.,GNBDC
1SA,2,6,The,GNBDC
1SA,2,?,he sends people to the world of the dead,GNBDC
1SA,2,?,and brings them back again.,GNBDC
1SA,2,7,He makes some poor and others rich;,GNBDC
1SA,2,?,he humbles some and makes others great.,GNBDC
1SA,2,8,He lifts the poor from the dust,GNBDC
1SA,2,?,and raises the needy from their misery.,GNBDC
1SA,2,?,He makes them companions of princes,GNBDC
1SA,2,?,and puts them in places of honour.,GNBDC
1SA,2,?,The foundations of the earth belong to the,GNBDC
1SA,2,?,on them he has built the world.,GNBDC
1SA,2,9,"“He protects the lives of his faithful people,",GNBDC
1SA,2,?,but the wicked disappear in darkness;,GNBDC
1SA,2,?,a man does not triumph by his own strength.,GNBDC
1SA,2,10,The,GNBDC
1SA,2,?,he will thunder against them from heaven.,GNBDC
1SA,2,?,The,GNBDC
1SA,2,?,"he will give power to his king,",GNBDC
1SA,2,?,he will make his chosen king victorious.”,GNBDC
1SA,2,11,"Then Elkanah went back home to Ramah, but the boy Samuel stayed in Shiloh and served the",GNBDC
1SA,2,12,The sons of Eli were scoundrels. They paid no attention to the,GNBDC
1SA,2,13,"or to the regulations concerning what the priests could demand from the people. Instead, when anyone was offering a sacrifice, the priest's servant would come with a three-pronged fork. While the meat was still cooking,",GNBDC
1SA,2,14,"he would stick the fork into the cooking pot, and whatever the fork brought out belonged to the priest. All the Israelites who came to Shiloh to offer sacrifices were treated like this.",GNBDC
1SA,2,15,"In addition, even before the fat was taken off and burnt, the priest's servant would come and say to the one offering the sacrifice, “Give me some meat for the priest to roast; he won't accept boiled meat from you, only raw meat.”",GNBDC
1SA,2,16,"If the person answered, “Let us do what is right and burn the fat first; then take what you want,” the priest's servant would say, “No! Give it to me now! If you don't, I will have to take it by force!”",GNBDC
1SA,2,17,This sin of the sons of Eli was extremely serious in the,GNBDC
1SA,2,18,In the meantime the boy Samuel continued to serve the,GNBDC
1SA,2,19,Each year his mother would make a little robe and take it to him when she accompanied her husband to offer the yearly sacrifice.,GNBDC
1SA,2,20,"Then Eli would bless Elkanah and his wife, and say to Elkanah, “May the",GNBDC
1SA,2,?,After that they would go back home.,GNBDC
1SA,2,21,The,GNBDC
1SA,2,22,Eli was now very old. He kept hearing about everything his sons were doing to the Israelites and that they were even sleeping with the women who worked at the entrance to the Tent of the,GNBDC
1SA,2,23,"So he said to them, “Why are you doing these things? Everybody tells me about the evil you are doing.",GNBDC
1SA,2,24,"Stop it, my sons! This is an awful thing the people of the",GNBDC
1SA,2,25,"If anyone sins against someone else, God can defend him; but who can defend someone who sins against the",GNBDC
1SA,2,?,"But they would not listen to their father, for the",GNBDC
1SA,2,27,A prophet came to Eli with this message from the,GNBDC
1SA,2,28,"From all the tribes of Israel I chose his family to be my priests, to serve at the altar, to burn the incense, and to wear the ephod",GNBDC
1SA,2,29,"Why, then, do you look with greed",GNBDC
1SA,2,30,"I, the",GNBDC
1SA,2,31,"Listen, the time is coming when I will kill all the young men in your family and your clan, so that no man in your family will live to be old.",GNBDC
1SA,2,32,You will be troubled and look with envy,GNBDC
1SA,2,33,"Yet I will keep one of your descendants alive, and he will serve me as priest. But he",GNBDC
1SA,2,34,"When your two sons Hophni and Phinehas both die on the same day, this will show you that everything I have said will come true.",GNBDC
1SA,2,35,"I will choose a priest who will be faithful to me and do everything I want him to. I will give him descendants, who will always serve in the presence of my chosen king.",GNBDC
1SA,2,36,"Any of your descendants who survive will have to go to that priest and ask him for money and food, and beg to be allowed to help the priests, in order to have something to eat.”",GNBDC
1SA,3,1,"In those days, when the boy Samuel was serving the",GNBDC
1SA,3,2,"One night Eli, who was now almost blind, was sleeping in his own room;",GNBDC
1SA,3,3,"Samuel was sleeping in the sanctuary, where the sacred Covenant Box was. Before dawn, while the lamp was still burning,",GNBDC
1SA,3,4,the,GNBDC
1SA,3,5,"and ran to Eli and said, “You called me, and here I am.”",GNBDC
1SA,3,?,"But Eli answered, “I didn't call you; go back to bed.” So Samuel went back to bed.",GNBDC
1SA,3,6-7,The,GNBDC
1SA,3,?,"But Eli answered, “My son, I didn't call you; go back to bed.”",GNBDC
1SA,3,8,The,GNBDC
1SA,3,?,Then Eli realized that it was the,GNBDC
1SA,3,9,"so he said to him, “Go back to bed; and if he calls you again, say, ‘Speak,",GNBDC
1SA,3,10,The,GNBDC
1SA,3,?,"Samuel answered, “Speak; your servant is listening.”",GNBDC
1SA,3,11,The,GNBDC
1SA,3,12,"On that day I will carry out all my threats against Eli's family, from beginning to end.",GNBDC
1SA,3,13,I have already told him,GNBDC
1SA,3,14,So I solemnly declare to the family of Eli that no sacrifice or offering will ever be able to remove the consequences of this terrible sin.”,GNBDC
1SA,3,15,Samuel stayed in bed until morning; then he got up and opened the doors of the house of the,GNBDC
1SA,3,16,"Eli called him, “Samuel, my boy!”",GNBDC
1SA,3,?,"“Yes, sir,” answered Samuel.",GNBDC
1SA,3,17,“What did the,GNBDC
1SA,3,18,"So Samuel told him everything; he did not keep anything back. Eli said, “He is the",GNBDC
1SA,3,19,"As Samuel grew up, the",GNBDC
1SA,3,20,"So all the people of Israel, from one end of the country to the other, knew that Samuel was indeed a prophet of the",GNBDC
1SA,3,21,The,GNBDC
1SA,4,1,"At that time the Philistines gathered to go to war against Israel, so",GNBDC
1SA,4,2,"The Philistines attacked, and after fierce fighting they defeated the Israelites and killed about 4,000 men on the battlefield.",GNBDC
1SA,4,3,"When the survivors came back to camp, the leaders of Israel said, “Why did the",GNBDC
1SA,4,4,So they sent messengers to Shiloh and fetched the Covenant Box of the,GNBDC
1SA,4,5,"When the Covenant Box arrived, the Israelites gave such a loud shout of joy that the earth shook.",GNBDC
1SA,4,6,"The Philistines heard the shouting and said, “Listen to all that shouting in the Hebrew camp! What does it mean?” When they found out that the",GNBDC
1SA,4,7,"they were afraid, and said, “A god has come into their camp! We're lost! Nothing like this has ever happened to us before!",GNBDC
1SA,4,8,Who can save us from those powerful gods? They are the gods who slaughtered the Egyptians in the desert!,GNBDC
1SA,4,9,"Be brave, Philistines! Fight like men, or we will become slaves to the Hebrews, just as they were our slaves. So fight like men!”",GNBDC
1SA,4,10,"The Philistines fought hard and defeated the Israelites, who went running to their homes. There was a great slaughter: 30,000 Israelite soldiers were killed.",GNBDC
1SA,4,11,"God's Covenant Box was captured, and Eli's sons, Hophni and Phinehas, were both killed.",GNBDC
1SA,4,12,"A man from the tribe of Benjamin ran all the way from the battlefield to Shiloh and arrived there the same day. To show his grief, he had torn his clothes and put earth on his head.",GNBDC
1SA,4,13,"Eli, who was very anxious about the Covenant Box, was sitting on a seat beside the road, staring. The man spread the news throughout the town, and everyone cried out in fear.",GNBDC
1SA,4,14,"Eli heard the noise and asked, “What is all this noise about?” The man hurried to Eli to tell him the news.",GNBDC
1SA,4,15,(Eli was now 98 years old and almost completely blind.),GNBDC
1SA,4,16,"The man said, “I have escaped from the battle and have run all the way here today.”",GNBDC
1SA,4,?,"Eli asked him, “What happened, my son?”",GNBDC
1SA,4,17,"The messenger answered, “Israel ran away from the Philistines; it was a terrible defeat for us! Besides that, your sons Hophni and Phinehas were killed, and God's Covenant Box was captured!”",GNBDC
1SA,4,18,"When the man mentioned the Covenant Box, Eli fell backwards from his seat beside the gate. He was so old and fat that the fall broke his neck, and he died. He had been a leader in Israel for forty years.",GNBDC
1SA,4,19,"Eli's daughter-in-law, the wife of Phinehas, was pregnant, and it was almost time for her baby to be born. When she heard that God's Covenant Box had been captured and that her father-in-law and her husband were dead, she suddenly went into labour and gave birth.",GNBDC
1SA,4,20,"As she was dying, the women helping her said to her, “Be brave! You have a son!” But she paid no attention and did not answer.",GNBDC
1SA,4,21,"She named the boy Ichabod,",GNBDC
1SA,4,22,"“God's glory has left Israel,” she said, “because God's Covenant Box has been captured.”",GNBDC
1SA,5,1,"After the Philistines captured the Covenant Box, they carried it from Ebenezer to their city of Ashdod,",GNBDC
1SA,5,2,"took it into the temple of their god Dagon, and set it up beside his statue.",GNBDC
1SA,5,3,Early next morning the people of Ashdod saw that the statue of Dagon had fallen face downwards on the ground in front of the,GNBDC
1SA,5,4,Early the following morning they saw that the statue had again fallen down in front of the Covenant Box. This time its head and both its arms were broken off and were lying in the doorway; only the body was left.,GNBDC
1SA,5,5,(That is why even today the priests of Dagon and all his worshippers in Ashdod step over that place and do not walk on it.),GNBDC
1SA,5,6,The,GNBDC
1SA,5,7,"When they saw what was happening, they said, “The God of Israel is punishing us and our god Dagon. We can't let the Covenant Box stay here any longer.”",GNBDC
1SA,5,8,"So they sent messengers and called together all five of the Philistine kings and asked them, “What shall we do with the Covenant Box of the God of Israel?”",GNBDC
1SA,5,?,"“Take it over to Gath,” they answered; so they took it to Gath, another Philistine city.",GNBDC
1SA,5,9,"But after it arrived there, the",GNBDC
1SA,5,10,"So they sent the Covenant Box to Ekron, another Philistine city; but when it arrived there, the people cried out, “They have brought the Covenant Box of the God of Israel here, in order to kill us all!”",GNBDC
1SA,5,11,"So again they sent for all the Philistine kings and said, “Send the Covenant Box of Israel back to its own place, so that it won't kill us and our families.” There was panic throughout the city because God was punishing them so severely.",GNBDC
1SA,5,12,Even those who did not die developed tumours and the people cried out to their gods for help.,GNBDC
1SA,6,1,After the,GNBDC
1SA,6,2,"the people called the priests and the magicians and asked, “What shall we do with the Covenant Box of the",GNBDC
1SA,6,3,"They answered, “If you return the Covenant Box of the God of Israel, you must, of course, send with it a gift to him to pay for your sin. The Covenant Box must not go back without a gift. In this way you will be healed, and you will find out why he has kept on punishing you.”",GNBDC
1SA,6,4,“What gift shall we send him?” the people asked.,GNBDC
1SA,6,?,"They answered, “Five gold models of tumours and five gold mice, one of each for each Philistine king. The same plague was sent on all of you and on the five kings.",GNBDC
1SA,6,5,"You must make these models of the tumours and of the mice that are ravaging your country, and you must give honour to the God of Israel. Perhaps he will stop punishing you, your gods, and your land.",GNBDC
1SA,6,6,"Why should you be stubborn, as the king of Egypt and the Egyptians were? Don't forget how God made fools of them until they let the Israelites leave Egypt.",GNBDC
1SA,6,7,So prepare a new wagon and two cows that have never been yoked; hitch them to the wagon and drive their calves back to the barn.,GNBDC
1SA,6,8,Take the,GNBDC
1SA,6,9,"Then watch it go; if it goes towards the town of Beth Shemesh, this means that it is the God of the Israelites who has sent this terrible disaster on us. But if it doesn't, then we will know that he did not send the plague; it was only a matter of chance.”",GNBDC
1SA,6,10,"They did what they were told: they took two cows and hitched them to the wagon, and shut the calves in the barn.",GNBDC
1SA,6,11,"They put the Covenant Box in the wagon, together with the box containing the gold models of the mice and of the tumours.",GNBDC
1SA,6,12,"The cows started off on the road to Beth Shemesh and headed straight towards it, without turning off the road. They were mooing as they went. The five Philistine kings followed them as far as the border of Beth Shemesh.",GNBDC
1SA,6,13,"The people of Beth Shemesh were harvesting wheat in the valley, when suddenly they looked up and saw the Covenant Box. They were overjoyed at the sight.",GNBDC
1SA,6,14,"The wagon came to a field belonging to a man named Joshua, who lived in Beth Shemesh, and it stopped there near a large rock. The people chopped up the wooden wagon and killed the cows and offered them as a burnt sacrifice to the",GNBDC
1SA,6,15,The Levites lifted off the Covenant Box of the,GNBDC
1SA,6,16,The five Philistine kings watched them do this and then went back to Ekron that same day.,GNBDC
1SA,6,17,The Philistines sent the five gold tumours to the,GNBDC
1SA,6,18,"They also sent gold mice, one for each of the cities ruled by the five Philistine kings, both the fortified towns and the villages without walls. The large rock in the field of Joshua of Beth Shemesh, on which they placed the",GNBDC
1SA,6,19,The,GNBDC
1SA,6,20,"So the men of Beth Shemesh said, “Who can stand before the",GNBDC
1SA,6,21,"They sent messengers to the people of Kiriath Jearim to say, “The Philistines have returned the",GNBDC
1SA,7,2,The Covenant Box of the,GNBDC
1SA,7,3,"Samuel said to the people of Israel, “If you are going to turn to the",GNBDC
1SA,7,4,"So the Israelites got rid of their idols of Baal and Astarte, and worshipped only the",GNBDC
1SA,7,5,"Then Samuel sent for all the Israelites to meet at Mizpah, saying, “I will pray to the",GNBDC
1SA,7,6,So they all gathered at Mizpah. They drew some water and poured it out as an offering to the,GNBDC
1SA,7,7,"When the Philistines heard that the Israelites had gathered at Mizpah, the five Philistine kings started out with their men to attack them. The Israelites heard about it and were afraid,",GNBDC
1SA,7,8,"and said to Samuel, “Keep praying to the",GNBDC
1SA,7,9,Samuel killed a young lamb and burnt it whole as a sacrifice to the,GNBDC
1SA,7,10,"While Samuel was offering the sacrifice, the Philistines moved forward to attack; but just then the",GNBDC
1SA,7,11,"The Israelites marched out from Mizpah and pursued the Philistines almost as far as Bethcar, killing them along the way.",GNBDC
1SA,7,12,"Then Samuel took a stone, set it up between Mizpah and Shen, and said, “The",GNBDC
1SA,7,13,"So the Philistines were defeated, and the",GNBDC
1SA,7,14,"All the cities which the Philistines had captured between Ekron and Gath were returned to Israel, and so Israel got back all its territory. And there was peace also between the Israelites and the Canaanites.",GNBDC
1SA,7,15,Samuel ruled Israel as long as he lived.,GNBDC
1SA,7,16,"Every year he would go round to Bethel, Gilgal, and Mizpah, and in these places he would settle disputes.",GNBDC
1SA,7,17,"Then he would go back to his home in Ramah, where also he would serve as judge. In Ramah he built an altar to the",GNBDC
1SA,8,1,"When Samuel grew old, he made his sons judges in Israel.",GNBDC
1SA,8,2,The elder son was named Joel and the younger one Abijah; they were judges in Beersheba.,GNBDC
1SA,8,3,"But they did not follow their father's example; they were interested only in making money, so they accepted bribes and did not decide cases honestly.",GNBDC
1SA,8,4,"Then all the leaders of Israel met together, went to Samuel in Ramah,",GNBDC
1SA,8,5,"and said to him, “Look, you are getting old and your sons don't follow your example. So then, appoint a king to rule over us, so that we will have a king, as other countries have.”",GNBDC
1SA,8,6,Samuel was displeased with their request for a king; so he prayed to the,GNBDC
1SA,8,7,and the,GNBDC
1SA,8,8,"Ever since I brought them out of Egypt, they have turned away from me and worshipped other gods; and now they are doing to you what they have always done to me.",GNBDC
1SA,8,9,"So then, listen to them, but give them strict warnings and explain how their kings will treat them.”",GNBDC
1SA,8,10,Samuel told the people who were asking him for a king everything that the,GNBDC
1SA,8,11,"“This is how your king will treat you,” Samuel explained. “He will make soldiers of your sons; some of them will serve in his war chariots, others in his cavalry, and others will run before his chariots.",GNBDC
1SA,8,12,"He will make some of them officers in charge of a thousand men, and others in charge of fifty men. Your sons will have to plough his fields, harvest his crops, and make his weapons and the equipment for his chariots.",GNBDC
1SA,8,13,Your daughters will have to make perfumes for him and work as his cooks and his bakers.,GNBDC
1SA,8,14,"He will take your best fields, vineyards, and olive groves, and give them to his officials.",GNBDC
1SA,8,15,He will take a tenth of your corn and of your grapes for his court officers and other officials.,GNBDC
1SA,8,16,He will take your servants and your best cattle,GNBDC
1SA,8,17,He will take a tenth of your flocks. And you yourselves will become his slaves.,GNBDC
1SA,8,18,"When that time comes, you will complain bitterly because of your king, whom you yourselves chose, but the",GNBDC
1SA,8,19,"The people paid no attention to Samuel, but said “No! We want a king,",GNBDC
1SA,8,20,"so that we will be like other nations, with our own king to rule us and to lead us out to war and to fight our battles.”",GNBDC
1SA,8,21,Samuel listened to everything they said and then went and told the,GNBDC
1SA,8,22,The,GNBDC
1SA,9,1,"There was a wealthy and influential man named Kish, from the tribe of Benjamin; he was the son of Abiel and grandson of Zeror, and belonged to the family of Becorath, a part of the clan of Aphiah.",GNBDC
1SA,9,2,"He had a son named Saul, a handsome man in the prime of life. Saul was a head taller than anyone else in Israel and more handsome as well.",GNBDC
